이미지URL,상품명,가격,행사유형,행사분류
https://image.woodongs.com/imgsvr/item/GD_8809713918419_003.jpg,지일)마누카허니소다350ML,"2,300",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809125061857_002.jpg,종근당)헛개땡큐골드100ML,"5,000",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801007327372_002.jpg,CJ)햇반100%현미밥130G(3입),"7,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801392023200_002.jpg,CJ)햇반100%현미밥130G,"2,600",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801007526492_001.jpg,CJ)비비고사골곰탕500G,"2,900",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801392110733_002.jpg,CJ)비비고저나트륨사골곰탕500G,"3,200",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801007849805_001.jpg,CJ)비비고한우사골곰탕500G,"3,200",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801007508740_003.jpg,CJ)갈비만두300G,"7,800",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801392011528_002.jpg,CJ)비비고군만두315G,"7,800",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801392085963_002.jpg,CJ)비비고찰보리감자만두300G,"7,800",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8806016181410_002.jpg,유어스)슈퍼히어로드링크120ML,"1,000",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8806016186118_001.jpg,동화약품)배러라이트120ML,"3,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8806016185210_001.jpg,동화약품)배러화이트120ML,"3,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8800249970018_001.jpg,원웨이브)비타민핏레몬워터500ML,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8800249970001_001.jpg,원웨이브)비타민핏복숭아워터500,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801056240998_001.jpg,롯데)핫식스더킹그레이프355ML,"2,300",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801056178925_002.jpg,롯데)핫식스더킹러쉬355ML,"2,300",1+1,1+1 행사
