이미지URL,상품명,가격,행사유형,행사분류,증정상품이미지URL
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007403205.JPG,CJ)햇반황태국밥,4800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007403267.JPG,CJ)햇반미역국밥,4800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007423180.JPG,CJ)햇반강된장보리비빔밥,4800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007446998.JPG,CJ)햇반직화짜장덮밥,4800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007526515.JPG,CJ)비비고육개장500g,5900,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007566412.JPG,CJ)햇반중화마파덮밥,4800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007608112.JPG,CJ)햇반직화불고기덮밥,4800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007611679.JPG,CJ)햇반철판제육덮밥,4800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007638225.JPG,CJ)햇반철판김치덮밥,4800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007732442.JPG,CJ)햇반스팸마요덮밥,4800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007732466.JPG,CJ)햇반버터장조림비빔밥,4800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007778280.JPG,CJ)햇반치킨마요덮밥,4800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007820392.JPG,CJ)햇반김치날치알밥컵밥,4800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007820415.JPG,CJ)햇반불닭마요덮밥,4800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007833620.JPG,CJ)햇반참치마요덮밥,4800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007867045.JPG,CJ)햇반스팸김치덮밥,4800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801392089022.JPG,CJ)부먹밥미역국밥,3500,,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801392089046.JPG,CJ)부먹밥사골곰탕밥,3500,,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801392089060.JPG,CJ)부먹밥짬뽕밥,3500,,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801392089541.JPG,CJ)비비고치즈떡볶이108G,3900,,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801392089626.JPG,CJ)비비고매운떡볶이110G,3900,,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801392090455.JPG,CJ)비비고오리지널떡볶이110G,3900,,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007010410.JPG,CJ)햇반발아현미밥210g(36),2900,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007038773.JPG,CJ)햇반오곡밥210g,2900,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007038780.JPG,CJ)햇반흑미밥210g(36),2900,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007281223.JPG,CJ)햇반발아현미밥130g*3입,5950,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007281247.JPG,CJ)햇반흑미밥130g*3입,5950,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007684543.JPG,CJ)햇반매일잡곡밥210g(36),2900,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007684567.JPG,CJ)햇반매일잡곡밥210g*3입,7200,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007818955.JPG,CJ)햇반매일찰잡곡밥210g(36),2900,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007819570.JPG,CJ)햇반매일찰잡곡밥210g*3입,7200,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007860459.JPG,CJ)햇반현미쌀밥210g(36),2900,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007894812.JPG,CJ)햇반빅스팸마요덮밥,5400,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007894850.JPG,CJ)햇반빅치킨마요덮밥,5400,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007921235.JPG,CJ)햇반빅치즈닭갈비덮밥,5400,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801392003837.JPG,CJ)햇반현미귀리곤약밥150g,3900,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801392003905.JPG,CJ)햇반귀리흑미곤약밥150g,3900,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801392023200.JPG,CJ)햇반100%현미밥130g,2600,1+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801392076251.JPG,CJ)햇반서리태흑미밥210g,2900,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801392094996.JPG,CJ)햇반솥반강화섬쌀밥200g*4,6900,,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801392096495.JPG,CJ)햇반찹쌀누룽지죽205G,2600,1+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801392101724.JPG,CJ)햇반100%통곡물밥130g,2600,1+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801392111518.JPG,CJ)햇반흑미누룽지죽205g,2600,1+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801392112713.JPG,CJ)햇반12곡밥210g,2900,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801392119378.JPG,CJ)햇반컵반고추잡채덮밥,5400,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801392119392.JPG,CJ)햇반컵반차돌된장찌개밥,5400,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801392121197.JPG,CJ)햇반컵반돼지고기김치찌개밥,5400,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007002989.JPG,CJ)햇반작은공기130g,1700,2+1,,
